10,diamonds
A,diamonds
A,spades
Q,clubs
10,spades
10,clubs
5,clubs
9,diamonds
A,hearts
A,diamonds
6,clubs
6,hearts
4,hearts
J,hearts
3,diamonds
9,diamonds
3,diamonds
5,diamonds
A,spades
A,spades
5,clubs
5,diamonds
4,clubs
3,spades
3,hearts
A,spades
4,clubs
5,clubs
3,diamonds
8,spades
K,diamonds
9,diamonds
5,diamonds
5,hearts
9,diamonds
Q,clubs
10,clubs
10,clubs
Q,spades
7,hearts
Q,diamonds
K,clubs
9,diamonds
K,hearts
K,hearts
3,diamonds
K,clubs
2,hearts
Q,spades
5,hearts
7,spades
J,diamonds
8,hearts
5,spades
10,diamonds
8,hearts
3,hearts
2,spades
J,diamonds
J,clubs
K,diamonds
6,clubs
J,hearts
A,diamonds
9,diamonds
K,clubs
Q,hearts
6,hearts
7,diamonds
4,spades
J,hearts
Q,clubs
A,spades
3,hearts
8,spades
K,hearts
9,clubs
3,spades
7,hearts
7,spades
K,hearts
5,diamonds
7,clubs
Q,spades
5,diamonds
Q,diamonds
8,diamonds
8,diamonds
Q,diamonds
K,hearts
10,hearts
2,diamonds
2,diamonds
Q,diamonds
5,clubs
K,diamonds
6,hearts
5,spades
9,clubs
6,hearts
3,clubs
10,clubs
9,hearts
7,hearts
5,spades
5,diamonds
4,clubs
4,spades
K,clubs
7,spades
7,clubs
K,diamonds
A,spades
8,clubs
5,diamonds
8,diamonds
Q,spades
K,diamonds
A,diamonds
7,hearts
2,clubs
6,hearts
6,hearts
4,hearts
3,hearts
8,spades
4,hearts
9,clubs
9,hearts
3,spades
10,clubs
7,diamonds
Q,clubs
4,hearts
2,clubs
2,diamonds
7,hearts
Q,clubs
10,diamonds
7,hearts
9,clubs
Q,clubs
A,diamonds
K,hearts
7,spades
A,spades
8,clubs
5,diamonds
3,diamonds
K,hearts
9,diamonds
2,hearts
5,clubs
6,hearts
10,spades
3,diamonds
3,spades
J,hearts
9,diamonds
8,hearts
5,diamonds
A,hearts
4,clubs
9,hearts
8,spades
10,clubs
4,diamonds
7,diamonds
9,diamonds
10,spades
Q,spades
3,hearts
7,spades
7,diamonds
J,clubs
7,hearts
9,hearts
K,hearts
5,spades
A,clubs
9,hearts
6,diamonds
7,clubs
4,diamonds
3,spades
8,clubs
10,spades
4,hearts
6,clubs
7,clubs
3,diamonds
Q,diamonds
7,clubs
K,spades
2,diamonds
K,clubs
10,clubs
Q,clubs
4,spades
Q,spades
